id_venta,fecha,ciudad,categoria,producto,unidades,precio_unitario,descuento_pct,total,metodo_pago,calificacion_cliente
V-1312,2026-01-22,Cartagena,Audio,Microfono USB,10,419000,34,2765400,Efectivo,5
V-1164,2026-05-24,Cartagena,Audio,Audifonos bluetooth,6,349000,12,1842720,Tarjeta credito,4
V-1111,2026-08-11,Bogota,Almacenamiento,Disco SSD 1 TB,2,389000,3,754660,Efectivo,4
V-1006,2026-05-02,  CARTAGENA ,audio,Parlante portatil,8,259000,37,1305360,Transferencia,4
V-1467,2026-06-20,Pereira,almacenamiento,Memoria USB 128 GB,3,79000,10,$ 213.300,Transferencia,3
V-1347,2026-03-14,Bogota,Computadores,Todo en uno 24,5,2190000,13,$ 9.526.500,Transferencia,
V-1019,2026-04-26,Cartagena,Computadores,Portatil 14 pulgadas,9,$2.450.000,31,15214500,Efectivo,4
V-1330,21-08-2026,Cali,Perifericos,Teclado mecanico,7,289000,16,1699320,TARJETA DEBITO,3
V-1063,25/06/2026,  CARTAGENA ,Computadores,Portatil gamer,6,4890000,21,23178600,TARJETA CREDITO,4
V-1395,22-06-2026,Barranquilla,accesorios,Cargador universal,1,119000,0,,Tarjeta debito,2
V-1261,2026-02-17,Bogota,Perifericos,Monitor 27 pulgadas,6,1090000,19,5297400,Transferencia,3
V-1453,20/01/2026,Cartagena,Almacenamiento,Memoria USB 128 GB,3,79000,0,237000,EFECTIVO,3
V-1024,2026-04-17,Barranquilla,Perifericos,Mouse inalambrico,7,96000,28,483840,Tarjeta credito,5
V-1127,2026-09-03,Cali,Audio,Audifonos bluetooth,6,349000,17,$ 1.738.020,Efectivo,
V-1052,2026-07-03,Medellin,Computadores,Portatil gamer,6,4890000,22,,PSE,4
V-1406,03/06/2026,Barranquilla,almacenamiento,Memoria USB 128 GB,9,79000,28,511920,TRANSFERENCIA,3
V-1028,2026-06-04,Cartagena,Perifericos,Teclado mecanico,4,289000,8,1063520,Transferencia,5
V-1109,22-04-2026,  MEDELLIN ,Audio,Audifonos bluetooth,7,349000,14,2100980,PSE,4
V-1326,2026-03-25,Medellin,Computadores,Portatil gamer,2,4890000,0,$ 9.780.000,PSE,4
V-1106,2026-03-13,  MEDELLIN ,Audio,Audifonos bluetooth,7,349000,38,1514660,Tarjeta credito,3
V-1090,2026-02-05,Bogota,Audio,Parlante portatil,5,259000,13,1126650,Tarjeta debito,3
V-1065,24/08/2026,Cartagena,accesorios,Maletin para portatil,5,169000,8,777400,Transferencia,3
V-1016,13/08/2026,Pereira,accesorios,Maletin para portatil,2,169000,2,331240,PSE,5
V-1273,2026-04-10,  PEREIRA ,Perifericos,Mouse inalambrico,3,96000,0,288000,Transferencia,5
V-1221,2026-08-05,Pereira,almacenamiento,Memoria USB 128 GB,6,79000,18,388680,Transferencia,5
V-1212,2026-03-28,Pereira,Audio,Audifonos bluetooth,8,349000,26,2066080,Transferencia,4
V-1383,2026-02-08,  CARTAGENA ,computadores,Todo en uno 24,3,$2.190.000,0,,PSE,3
V-1265,2026-06-30,Bucaramanga,Almacenamiento,Disco SSD 1 TB,4,389000,5,1478200,TRANSFERENCIA,
V-1310,2026-07-19,  BUCARAMANGA ,Almacenamiento,Memoria USB 128 GB,6,79000,26,$ 350.760,PSE,5
V-1410,2026-04-01,Bucaramanga,Audio,Audifonos bluetooth,8,349000,29,1982320,PSE,4
V-1374,2026-02-02,Cali,Accesorios,Base refrigerante,8,139000,25,834000,Tarjeta credito,4
V-1132,29/03/2026,Bogota,audio,Parlante portatil,8,259000,24,1574720,Transferencia,4
V-1333,2026-07-03,Pereira,Accesorios,Base refrigerante,2,139000,3,$ 269.660,Transferencia,5
V-1089,2026-02-12,  MEDELLIN ,accesorios,Base refrigerante,9,139000,32,$ 10.208.160,Efectivo,3
V-1029,2026-04-18,Cali,Audio,Microfono USB,10,419000,36,$ 2.681.600,Tarjeta debito,4
V-1309,2026-07-24,Bucaramanga,Almacenamiento,Memoria USB 128 GB,8,$79.000,27,461360,Efectivo,5
V-1003,2026-06-21,Bogota,Perifericos,Teclado mecanico,5,289000,14,$ 1.242.700,Tarjeta debito,5
V-1260,07/02/2026,Bucaramanga,Audio,Parlante portatil,10,259000,22,2020200,PSE,3
V-1461,2026-01-20,Medellin,Audio,Audifonos bluetooth,6,349000,24,1591440,Transferencia,4
V-1097,2026-03-08,Bogota,Accesorios,Cargador universal,2,119000,0,$ 238.000,Tarjeta debito,4
V-1102,08/09/2026,Medellin,computadores,Portatil gamer,6,4890000,16,24645600,Tarjeta debito,3
V-1328,2026-08-05,Bucaramanga,Computadores,Todo en uno 24,5,2190000,12,9636000,Transferencia,4
V-1073,2026-06-04,Bogota,Audio,Parlante portatil,2,259000,6,486920,TARJETA CREDITO,3
V-1151,2026-01-09,Bogota,Audio,Audifonos bluetooth,8,349000,27,$ 2.038.160,TARJETA CREDITO,4
V-1409,2026-01-21,Cartagena,perifericos,Teclado mecanico,8,289000,15,1965200,Tarjeta debito,4
V-1306,19/04/2026,Medellin,almacenamiento,Disco SSD 1 TB,6,389000,25,1750500,PSE,4
V-1054,17/07/2026,  BOGOTA ,Audio,Microfono USB,7,419000,13,2551710,Tarjeta credito,5
V-1387,2026-07-11,Cali,Accesorios,Base refrigerante,3,139000,11,371130,Tarjeta credito,4
V-1047,17-04-2026,  BOGOTA ,Audio,Microfono USB,5,419000,12,$ 1.843.600,Tarjeta credito,4
V-1440,2026-01-10,Bucaramanga,Audio,Microfono USB,4,419000,5,19106400,Tarjeta credito,4
V-1403,08/03/2026,Bucaramanga,Accesorios,Base refrigerante,7,139000,21,$ 768.670,Efectivo,4
V-1390,2026-03-24,Cali,Accesorios,Cargador universal,6,119000,21,564060,PSE,4
V-1340,2026-03-20,Barranquilla,Accesorios,Cargador universal,7,119000,26,,TARJETA DEBITO,5
V-1391,2026-08-21,  CALI ,Computadores,Todo en uno 24,3,$2.190.000,0,6570000,PSE,2
V-1249,2026-06-08,Bucaramanga,Computadores,Portatil gamer,10,,36,31296000,Tarjeta credito,3
V-1056,2026-05-01,  CARTAGENA ,Perifericos,Mouse inalambrico,7,96000,23,517440,Efectivo,
V-1242,2026-03-12,  CALI ,Computadores,Portatil 14 pulgadas,6,,19,11907000,EFECTIVO,5
